Time (UTC+05:30),Clicks,Impressions,CTR,Position
2026-08-07T06:30:00,4,32,12.5%,11.1
2026-08-07T07:30:00,2,40,5%,9.8
2026-08-07T08:30:00,5,60,8.33%,7.5
2026-08-07T09:30:00,2,80,2.5%,6.6
2026-08-07T10:30:00,2,121,1.65%,8.1
2026-08-07T11:30:00,3,164,1.83%,8.2
2026-08-07T12:30:00,7,142,4.93%,7.3
2026-08-07T13:30:00,5,108,4.63%,7.1
2026-08-07T14:30:00,3,108,2.78%,7.1
2026-08-07T15:30:00,3,116,2.59%,6.8
2026-08-07T16:30:00,4,125,3.2%,7.5
2026-08-07T17:30:00,1,132,0.76%,13
2026-08-07T18:30:00,6,101,5.94%,6.2
2026-08-07T19:30:00,6,101,5.94%,7.8
2026-08-07T20:30:00,4,79,5.06%,7.5
2026-08-07T21:30:00,4,70,5.71%,5.4
2026-08-07T22:30:00,2,58,3.45%,6.3
2026-08-07T23:30:00,3,35,8.57%,8.3
2026-08-08T00:30:00,1,29,3.45%,7.6
2026-08-08T01:30:00,0,14,0%,9.3
2026-08-08T02:30:00,0,1,0%,1
2026-08-08T03:30:00,1,2,50%,5.5
2026-08-08T04:30:00,0,2,0%,6.5
2026-08-08T05:30:00,0,0,0%,0
