Country,Clicks,Impressions,CTR,Position
India,62,1590,3.9%,7.7
United States,2,38,5.26%,6.95
Singapore,2,14,14.29%,5.86
United Arab Emirates,1,21,4.76%,7.24
France,1,2,50%,3.5
Philippines,0,7,0%,20.29
Qatar,0,6,0%,12.17
United Kingdom,0,4,0%,12.75
Kenya,0,3,0%,10
Russia,0,3,0%,15
Indonesia,0,3,0%,15.67
Malaysia,0,3,0%,20
Turkey,0,3,0%,29.33
Netherlands,0,2,0%,2
Oman,0,2,0%,4
Australia,0,2,0%,6
Kuwait,0,2,0%,7
Saudi Arabia,0,2,0%,10
Ukraine,0,2,0%,10.5
Iraq,0,2,0%,16
Italy,0,1,0%,1
Iran,0,1,0%,2
Cambodia,0,1,0%,2
Canada,0,1,0%,6
Germany,0,1,0%,7
Bahrain,0,1,0%,8
Sweden,0,1,0%,8
Brazil,0,1,0%,9
Mexico,0,1,0%,35
